 Procedimentos hospitalares do SUS - por local de internação - Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valor total por Unidade da Federação e Ano/mês processamento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Período:Jan/2008-Set/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação;2008/Jan;2008/Fev;2008/Mar;2008/Abr;2008/Mai;2008/Jun;2008/Jul;2008/Ago;2008/Set;2008/Out;2008/Nov;2008/Dez;2009/Jan;2009/Fev;2009/Mar;2009/Abr;2009/Mai;2009/Jun;2009/Jul;2009/Ago;2009/Set;2009/Out;2009/Nov;2009/Dez;2010/Jan;2010/Fev;2010/Mar;2010/Abr;2010/Mai;2010/Jun;2010/Jul;2010/Ago;2010/Set;2010/Out;2010/Nov;2010/Dez;2011/Jan;2011/Fev;2011/Mar;2011/Abr;2011/Mai;2011/Jun;2011/Jul;2011/Ago;2011/Set;2011/Out;2011/Nov;2011/Dez;2012/Jan;2012/Fev;2012/Mar;2012/Abr;2012/Mai;2012/Jun;2012/Jul;2012/Ago;2012/Set;2012/Out;2012/Nov;2012/Dez;2013/Jan;2013/Fev;2013/Mar;2013/Abr;2013/Mai;2013/Jun;2013/Jul;2013/Ago;2013/Set;2013/Out;2013/Nov;2013/Dez;2014/Jan;2014/Fev;2014/Mar;2014/Abr;2014/Mai;2014/Jun;2014/Jul;2014/Ago;2014/Set;2014/Out;2014/Nov;2014/Dez;2015/Jan;2015/Fev;2015/Mar;2015/Abr;2015/Mai;2015/Jun;2015/Jul;2015/Ago;2015/Set;2015/Out;2015/Nov;2015/Dez;2016/Jan;2016/Fev;2016/Mar;2016/Abr;2016/Mai;2016/Jun;2016/Jul;2016/Ago;2016/Set;2016/Out;2016/Nov;2016/Dez;2017/Jan;2017/Fev;2017/Mar;2017/Abr;2017/Mai;2017/Jun;2017/Jul;2017/Ago;2017/Set;2017/Out;2017/Nov;2017/Dez;2018/Jan;2018/Fev;2018/Mar;2018/Abr;2018/Mai;2018/Jun;2018/Jul;2018/Ago;2018/Set;2018/Out;2018/Nov;2018/Dez;2019/Jan;2019/Fev;2019/Mar;2019/Abr;2019/Mai;2019/Jun;2019/Jul;2019/Ago;2019/Set;2019/Out;2019/Nov;2019/Dez;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out;2020/Nov;2020/Dez;2021/Jan;2021/Fev;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;Total
24 Rio Grande do Norte;5947814,08;9509755,83;10352238,59;10855108,5;11160168,19;10475071,38;11386349,96;10640817,47;11336030,28;10606465,07;10742812,44;10091048,76;9571714,81;10699503,66;11613016,25;9515920,85;12872004,45;12353310,44;12888827,03;13075400,99;13213817,6;13294634,31;13153593,04;13652544,87;12942505,99;12272024,78;13763300,23;13693244,07;13975281,25;12960918,44;13077509,32;14081550,96;13930180,98;13010354,42;12796805,21;13667927,81;13356719,54;13551289,9;14108465,83;13871428,09;14155263,87;14213672,9;14705320,9;13632520,7;15377328,88;14675957,26;13417387,55;15167852,35;13512824,66;12434127,23;16107960,68;14820836,97;14616622,36;13433671,61;15759566,22;15565943,97;14078641,23;14275735,7;14363579,27;13095433,44;12885176,99;12865116,04;14439496,3;16240102,74;16312407,86;17005336,63;15550082,29;16128609,19;16663333,82;16560472,11;15772283,74;14467193,79;13929217,24;15175887,55;15826709,05;15179728,26;17609022;16326083,16;17620406,31;16897213,5;15659936,29;17260602,08;17190447,61;14552349,94;16415949,23;14663101,33;17349308,93;16485688,09;17479885,81;18357814,68;19032121,05;19083408,79;18625256,39;19305508,93;18323482,81;15732212,02;17598037,43;15944153,28;18561852,94;18551249,81;19174194,34;19665455,57;18710632,25;16407464,11;13341159,56;18596119,7;17338919,64;18965204,65;17531025,7;15915347,17;18088553,83;18346126,95;19111034,24;17755044,87;19054889,16;19795966,53;18795259,74;18444347,9;17298003,5;18311840,01;19130570,55;17631343,47;19842834,93;20774806,62;20789038,18;20137699,72;21652391,73;21629797,35;20189873,01;21332372,73;20581258,13;17227874,04;22503704,7;20181547,44;23086510,42;21820682,35;23588813,89;21530220,97;22229779,85;23120838,46;22455827,1;22263163,66;22922628,16;20949027,15;23101224,38;21644473,35;22438442,72;18744943,81;19454054;21476468,96;26337808,77;27579658,62;27721340,38;26052671,89;24742027,8;23886822,89;28074416,33;26581525,53;28444100,38;35930307,69;36764212,6;36708007,18;35989101,68;32369373,29;24063936,32;2867428082
25 Paraíba;10723002,45;11386274,47;12053643,87;12653528,76;12215107,11;12256928,49;12755413,77;12872578,37;12558296,11;12768727,85;12305712,88;13581860,46;13493164,47;13482978,09;14827006,61;15397556,53;16277442,59;15879160,72;15978811,22;15590347,89;16117680,24;15751691,59;15927662,69;15437528,74;15667869,73;14904848,47;16216133,65;16257606,55;16337751,46;16092332,67;16902253,36;16841142,04;15852904,31;15585573,68;15383927,63;15669807,38;15091719,5;15326392,08;15906613,12;15346420,06;15530835,49;14633766,02;15698533,59;15128556,76;15785458,75;15328867,04;14986456,4;15093025,15;13674516,54;13859126,01;15038829,37;14957359,9;15594376,19;14427177,03;15484361,07;15786852,82;16207805,08;14966724,85;15587687,25;14506296,46;15680898,4;14385685,07;16321921,55;16872009,72;17300529,52;16599314,18;16726432,62;16484782,86;17135693,88;16816763,07;15698764,75;16166997,73;16154064,4;15621266,78;14820967,48;17230194,63;15961997,56;16137548,05;16199002,92;16547389,24;16494346,2;16266620,26;15710026,42;17326679,55;15795012,65;14480740,53;16053726,73;15962948,78;15768417,41;16774733,11;16553311,93;16708149,42;16811722,12;16405613,74;14229559,3;14090969,82;13322414,1;17075239,87;16340636,71;16301872,15;16774465,25;16795120,27;15836692;17335283,11;16612200,96;15902954,28;15304390,51;15163126,53;15753142,07;15083831,63;17333812,39;16955476,06;17614909,3;16903390,86;17436413,89;18419340,61;18644534,22;18532729,35;18248446,2;17956094,16;16968876,36;17091922,12;17680495,15;18379177,97;18568272,05;18934577,55;19279685,95;19011606,67;18070790,31;18497122,25;18359742,42;17425267,96;18701777,09;18280230,48;19178379,93;18839657,83;21061830,25;19447508,7;19665224,24;20397259,96;19639745,97;19326032,3;19450907,04;18246437,76;17227838;17591547,33;17844195,52;16273867,55;14997248,91;17441299,56;27294311,05;23288213,79;19480924,47;19988426,94;18418075,59;18100602,5;19552670,55;21541160,93;26404374,31;29577403,03;34735632,48;34231692,36;29827487,76;28082449,35;24377900,38;2796673183
26 Pernambuco;14393949,89;24181400,95;29991302,71;34806197,97;32147987,35;32239094,89;32685640,76;35457038,66;33668261,46;30579747,51;31049830,56;36978451,28;31009217,35;32989186,42;35816570,57;35969258,01;38381369,46;37147961,64;37200037,82;37050387,71;37971068,17;39339518,15;38448709;36961718,24;35052507,08;32870997,66;36490461,92;39185802,19;39388462,04;38249606,84;36955723,87;40351864,49;37229907,82;40700808,63;41625911,29;39731003,01;38314655,92;38704974,94;38270479,93;43296812,53;43379503,12;42374590,03;44089917,21;44593739,9;42574100,91;46414565,03;42332627,96;41806199,96;42366739,76;40657147,53;42356775,79;46049107,38;45870310,23;47260740,98;45917428,6;46329282,68;45912255,55;45950600,84;48136622,77;45182474,26;45918510,2;46286498,91;49976492,24;51868968,3;55177829,24;54078037,35;55057140,1;56986957,3;57164851,07;59698786,84;53073903,75;59825272,68;53574898,27;54289579,09;53296924,53;57133438,18;60494904,81;58518383;60625402,78;60468979,19;63211650,92;62183620,21;62888953,97;56841236,06;57234817,11;55735690,3;58796396,86;59850086,94;62803941,06;64067286,88;60739524,74;62409022,55;59808747,4;57510985,6;62049537,57;55997430,18;58824239,37;57383866,85;60654457,3;59813025,14;62706675,5;62318151,51;63996670,41;63766089,53;62864173,51;62218424,19;57815722,37;60832058,72;61543259,12;58530231,23;66011432,62;62888623,19;70257954,75;69573373,69;69762828,96;68099323,25;67999680,35;66978897,02;64734221,71;65819921,92;64529749,62;59258351,04;67792662,95;66491472,88;71014021,26;68679138,11;70741826,35;70554341,99;66806054,81;67067611,96;64375684,1;63347814,94;66767187,21;63012036,07;65485622,52;65026872,36;71675203,64;68052177,03;71002753,56;70105175,96;69751772;73233805,15;69916288,52;65707740,38;70161441,76;64822616,22;66221727,51;49241430,42;58988241,41;64301576,28;74914677,43;77242718,06;71764620,17;66587801,49;78939716,08;72313959,4;83913852,46;78196525,89;87933693,44;103958119,1;123109445,8;125407650,1;114971565,5;102801016,6;83993757,9;9243658123
27 Alagoas;6243726,32;8376622,16;8408336,22;9090794,82;9338771,45;10068210,08;9887061,61;9373432;9563580,5;9805242,71;9483679,98;9587276,26;9118308,54;9492457,06;11050019,89;11833838,52;11964555,99;11469923,64;11073104,51;10717711,38;11170853,09;11884312,16;11491215,89;11619807,05;11867279,43;10207108,49;11653866,56;13088703,56;12218895,41;11290459,2;12842411,57;12085466,59;12138067,36;11614892,98;12115995,59;11714057,19;12011224,69;11918819,26;10780789,12;12947105,72;12951346,5;12295219,31;13134894,81;12903741,77;12967407,41;13288222,37;11999461,01;15330868,88;11258052,59;11783526,18;12618040,72;11821517,67;13074948,36;13362934,23;13065460,57;12660246,7;12608997,56;12663868,38;11078766,28;12624097,09;11618652,16;12563171,21;13387565,87;14244351,49;14640837,09;13627929,53;15834288,76;14375114,59;14858651,8;16091499,26;13908428,3;14841404,05;13609870,68;12422025,11;12478218,37;13312077,86;13872465,48;13025539,55;14188201,78;14451144,57;13709145,08;14464302,8;14537796,19;13514366,94;14106631,62;14275439,26;14668358,96;14271782,14;15688044,36;14905770,86;15992067,88;15416076,33;15489051,96;14800526,97;13793847,62;14354103,69;14327679,14;14293807,39;14554654,23;13999759,98;14724606,19;15443908,31;15573956,75;15475529,1;15561671,96;14764824,13;14669628,67;14192533,17;15129171,85;15038456,12;16130532,16;15743174,63;16086575,66;16042875,36;16846127,29;16928567,14;15886458,95;16596937,09;15508260,93;15903174,01;16127151,16;16062136,29;15913321,52;16901210,99;17026428,59;16339905,36;17908975,59;16793811,48;18119580,37;17126145,58;16925355,78;15765092,87;15858616,49;17064476,64;17027823,71;16458514,97;17039962,66;17802731,5;18399929,39;16915520,06;16913798,57;17740071,36;16610757,56;16954486,35;16913209,84;15857344,98;16014260,42;15057213,01;14411431,27;15406872,52;18453860,49;19995280,39;18185986,17;18871513,02;18597375,56;17805273,37;17548566,67;18587484,37;22323051,11;26826283,56;29651474,26;28155677,93;28992503,97;24723159,91;19758417,78;2394793269
28 Sergipe;2780750,11;3676483,16;5051473,61;5046063,36;4741151,56;5401259,63;5521904,44;5238398,5;5187912,19;4584068,7;4096786,86;4112620,16;4087554,91;4066137,68;5347746,85;5864474,02;6673113,2;5608324,33;5805868,8;5751986,48;6341601,06;5872206,67;6417612,33;5901811,49;5891195,29;5110036,54;5573525,84;7526762,19;8000159,57;5730613,66;7086244,47;7423825,48;6824254,36;6379269,17;7250384,04;5724769,61;7159572,71;5757338,71;7038966,36;6678909,21;6444423,8;5743888,41;6838013,1;7353107,85;6479016,81;7171748,35;5929696,29;6228992,25;6656143,67;6037494,41;7259238,57;7969461,13;6895848,45;7618788,42;7232613,44;7433346,82;6740007,46;6905144,37;6544005,7;5908122,76;6301344,38;7080123,24;8271668,02;8462593,98;7741746,7;6154093,13;8083772,83;7267573,2;6949523,59;6678771,08;6586368,06;6439479,68;6477148,65;6945872,51;6836562,27;6787461,29;7155130,38;7343528,74;7230138,87;6362749,71;7504906,4;7425864,9;7171541,46;6708175,23;7532979,25;6755440,98;7478153,76;8097711,61;8308576,63;7828944,9;8877007,24;9129892,18;8692417,03;8771323,27;8052546,55;7141336,77;7920697,54;7364587,54;8458296,32;9075164,55;9427424,7;8294758,44;10003202,01;16003933,99;5751946,44;6199962,79;6644582,06;7118708,08;7720209,82;7541775,26;7749421,92;7767046,51;9047436,87;8441039,71;8291702,97;9552486,43;8870825,75;9178431,79;7967802,82;7678925,8;8077634,45;7374349,7;8375279,36;9020646,6;9710691,4;8025780,5;9766114,15;10198444,73;9121714,7;10097590,01;9139082,28;8405178,91;9870763,46;9577713,59;9745805,83;10183910,27;11014405,78;9397452,52;9931458,04;9628184,03;10011078,87;10464026,39;9199453,13;8463411,72;9691241,43;9325631,63;8093465,51;8589154,91;8026929,31;8057935,1;10313262,56;11404646,48;10741986,6;12278300,58;12264609,05;11454427,82;12060864,7;13226099,48;13507023,71;14928721,85;17724664,13;19633473,1;18894097,84;14297739,1;12133818,13;1313873341
29 Bahia;21211522,47;28189304,95;34181483,52;39026934,13;42949566,82;47025972,04;47481695,17;46931248,28;44883379,31;41920011,46;37524744,74;44878936,74;39955776,96;43111707,75;49779947,78;50014602,82;48790551,8;49132821,82;51239968,87;52458246,42;53839068,59;51437189,65;51511419,22;49837755,53;49529112,74;47153215,38;53611971,89;54059176,28;51822435,06;48193723,43;52055936,39;55169480,09;51149469,04;52998868,51;51110199,55;49797380,31;50762560,42;49506095,15;53676261,91;56230829,44;51277301,85;52554007,19;57665345,91;55394871,04;55853815,24;55020722,47;56426958,02;52119762,31;51471366,43;51583789,94;61114469,8;56470860,17;58956342,68;57286133,46;57579666,12;58850187,01;55721890,1;59174699,98;54834519,31;50805585,16;50918730,11;48031764,26;54689483,04;60346839,48;62215989,21;59468051,13;65904256,49;64805007,17;62744830,56;65845122,34;59141216,79;58290022,86;63767811,64;59915191,91;59681681,98;60920671,82;61351092,4;60026773,48;65897253,07;66456740,35;67963557,89;67904878,33;62281320,06;61537833,98;63402850,9;57533415,71;65862065,38;61002105,89;64941469,92;64000633,85;66956753,66;70145059,1;70375191,33;70212728,6;69467563,02;61697271,1;64491582,81;61030296,44;67596522,73;68946797,31;69703669,34;67427693,07;70499941,2;71275142,55;72316907,37;70322056,89;63620328,18;62906303,19;64397235,43;64634686,08;68690380,93;65626958,5;70176833,67;72870964,12;63845395,83;63756542,98;72195775,69;78409447,23;71987968,64;64648373,69;68048653,42;64475039,37;67301935,64;70138190,99;72015638,15;68213323,07;73412542,78;74505873,73;71525882,45;74899242,26;73898802,66;67083996,92;69943903,44;63037987,2;70631313,03;75656871,01;74930902,09;72311955,53;78145958,78;79465336,35;75612489,42;75333078,55;73597019,2;71008578,9;72991644,23;70076183,91;73156459,75;62673156,89;64097970,52;69711402,48;84234287,58;83505321,26;80580498,11;81282091,64;86323900,87;85898021,44;80041951,06;82385385,11;102012674,2;115544714,1;115405581,4;129189696,1;132882815,6;110063581,3;99862227,64;10498497979
31 Minas Gerais;45671659,76;70194037,1;79231336,95;77136537,58;80554440,63;94758522,83;85360064,11;84722528,1;84601757,95;85559789,46;78329947,11;86917741,55;91374305,25;90153672,61;95290591,54;94091211,77;99076844,1;96189182,42;102754354,6;100080062,7;96911075,38;97956440,66;100726279,6;95354390,87;99017646,65;91519360,96;101602091,1;102020854,2;103346519,1;102489257,4;104427655,7;104334532,6;102057421,3;102296496,6;104624739,3;106029536,3;102848906,3;103097090,3;107148899,3;109395956,8;110963598,2;108798032,8;116882816,7;115819574,8;113941917,1;112266703,4;110320105,1;110247403,8;112999034;105365898,6;119320557,6;111508097,8;121916151,5;118620976,9;121071900,9;122660876,7;119912767,3;121329100,4;113629259,7;114180460,1;119841497,7;112610685,5;121483683,7;124223697,9;127149290,7;126778002,6;133371287,6;131609929,6;128782017,6;135027742,2;130065097,5;127030340,3;136493783,8;129567056,5;134327948,6;128639295,9;150031401,1;136128076,9;143612291,7;141144140,7;140835377,9;143611717,2;142982819,6;131466757;135056583;133803975,6;138617701,3;140005981,3;144748910,8;144903538,1;144893205,5;138309905,3;144319825,8;137803335,4;136740758;135735883;133990193,5;129427381;141285627;135370676,1;139139545;145843989,4;141622724,9;142810729,6;138557655,2;132905509,4;133811593,1;143174363,9;139000446,9;131306326,8;145820665,4;135720879,2;147516450,7;143284103,9;146849636,3;152645703,3;144488574,1;143939472,3;145123339,3;142848565,5;143158487;136705143,4;149829968,6;149894503,8;151546897,8;151514201,6;156680218,9;154281495;153867888,3;151228318,7;144867656,4;146715346,6;154066649,8;147968852,8;153459790,7;156777495,4;162963014,2;154830086,5;166207471,1;164287071,7;156567882,9;165120780,2;153006371,5;153901643,7;159280453,9;150237121,5;142897333,1;133416702,9;133520477,5;139953015,6;165962239,4;171272718;175362401,6;178236450,3;174286881,8;173567211;184123139,6;187320528,8;211478924,6;239221992,3;251148575,2;265282411,5;258578548,6;241931842,9;193773519,6;21899546393
32 Espírito Santo;5456723,98;9102212,86;10249595,97;11253833,56;10198619,17;13364258,29;13035374,08;12588595,77;12727433,3;12656039,16;11456719,61;13797101,01;11872595,72;13159401,04;14112825,59;14441001,76;15869485,76;14289482,15;14759638,93;15682021,1;15382323,46;15580269,47;14614727,18;13389707,31;15195270,91;14089292,07;14860459,56;14590678,01;15551855,16;15094272,62;15891427,56;15427295,84;16004656,88;16310380,44;15484092,44;16640338,44;16133664,94;15161413,45;17382070,61;16934270,53;17758849,96;17172311,8;17380509,2;18970124,29;17551488,15;17970035,3;17364792,54;17496329,94;17222804,98;16751995,85;18471537,46;18456884,51;17628111,36;18107658,11;19023115,07;18953444,62;19670500,59;18950349,09;18894552,12;18281712,15;19224431,53;19035509,92;20294734,35;19595507,02;20265267,4;19658552,7;20401161,29;19998670,93;20451848,8;20131302,49;20389116,78;19058737,26;19749178,48;19147207,72;19151706,66;19881203,54;22294881,78;21299915,99;22526747,71;21969999,69;21982043,34;22883793,84;21793404,47;20417854,69;20117941,26;20664919,35;22382068,17;21407331,21;22264266,78;22284122,22;25025991,97;23401404,52;20833822,54;23424337,52;23991085,58;21437787,54;23779563,66;22790048,27;23715873,33;24827565,42;24109597,33;25658817,37;25169057,16;26725024,24;25338983,15;24619233,74;24316581,95;25928484,84;25007676,62;24191191,04;25308292,4;25031483,52;26638696,23;27029630,04;26530798,94;25867248,28;25262466,33;26309234,34;26485310,14;25493804,7;26870384,24;24762482,38;23992070,32;25580754,91;27047091,49;24431385,84;25130378,43;26009340,5;24685731,9;26243877,36;24170075,47;24502056,39;25005409,89;24433360,41;24489441,43;23966073,21;27678894,71;26257287,18;29321032,62;28080023,93;27494948,06;28981301,17;26652123,01;27587727,37;28057063,29;26361545,85;26637385,72;25322623,29;28976583,86;29041781,1;33474963,98;32364742,01;38569356,14;35748380,19;32030401,25;34689192,62;40954654,87;42374636,17;48195829,47;55037350,24;54019586,79;51416562,54;54431417,37;44627947,75;38395547,28;3710941857
33 Rio de Janeiro;23025258,52;28394310,93;44567062,94;44054604,82;44911021,15;48056212,24;49872379,35;50912706,6;49270352,76;46434912,38;39907347,52;50581613,99;46203403,72;47094280,97;50808893,61;49188045,37;54038727,15;50720818,82;55050238,31;56202711,73;52027721,77;52063748,46;54304571,03;49771259;47245572,1;50655914,79;56116554,62;52070900,49;59396969,31;56866124,2;59807297,1;60274646,13;56849693,5;56972506,41;56226392,98;55766722,97;54468513,71;54490908,51;57189879,36;57530534,48;59415082,81;57500360,18;58719374,31;57725444,31;55988073,56;57067173,47;56007787,96;58500361,63;51490876,25;51218829,7;59050888,79;55713082,39;59308548,57;60946256,26;62570275,17;62562491,19;57819515,13;60680111,32;55508626,73;52938007,54;54498497,26;54241542,9;58103343,77;58179861,28;62951717,89;59378002,02;64397115,39;63688998,65;62549624,21;61105229,32;60723561,83;58602336,51;58579495,92;60080402,85;57850576,52;62325535,05;65792128,61;61276603,47;68295078,12;69883172,98;68072842,2;69180379,79;64122033,95;60517923,03;62439111,76;63737825,01;67666582;68284851,49;68751291,66;68009071,62;74284468,07;68985578,96;69994977,82;70135244;67375667,22;65073606,21;65228967,96;63377219,74;68530109,14;65491071,88;64788535,97;64647322,21;68974994,76;68889555,91;65722866,9;64254090,02;63295431,25;67082136,55;62062074,3;63262857,88;70614050,49;66831641,3;74203708,15;72248657,15;75302602,85;77717421,67;72622372,14;74953056,26;72548265,05;71176514,15;72530675,81;70910964,45;75601732,47;75998173,43;78033245,14;77683410,8;83733892,75;80453782,86;77382979,88;79404597,67;75075912,42;71286431,83;80140801,94;73535570,78;76151310,63;75853453,4;86637168,69;80125747,75;89924590,66;85720860,09;82971188,3;86392490,58;80843671,61;78579849,3;83186258,72;76116203,22;77004637,47;71404623,67;85123662,73;91735358,99;99331352,01;96339615,99;88305239,94;86995649,35;86868111,44;90483909,4;94360352,53;92977068,51;113354996;119301740,7;133925004,7;133147569,9;132215973,7;133050914,7;128586740,2;11131869791
35 São Paulo;91678473,48;148677526,8;156087269,2;161227125,4;187119397,6;187291126,1;194398399,5;184854516,4;188636359,6;179706467;167990352,5;191857317,8;182797194,4;186855294,8;212777859,5;203186114;217040531,7;217195249,9;220761157,5;232536720,1;220292973,7;221987951,3;220117480,9;209094405,4;214565774,7;203116173,2;227248380,1;231543598,7;230188803,4;226021072,1;229662643,3;234530618,1;233453453,4;221127119,4;239790045,5;236929144,7;227533337,3;231062206,9;241947462,2;236443416,8;244464658;234179405,3;250900143,6;245433156,2;245477472,7;244204325;244074129,2;242364979,8;235839968,1;230716054,2;249733962,4;240380166;253235916,3;241125908,1;250433088,4;259627680,9;246700090,2;250015664,2;243228929,8;227461193,2;247848715,7;241953732,9;247865862;266015472,8;270783169,8;259417406,5;268765294,7;279842025,9;272324278,9;278881855,3;256752830,4;246881134,2;265709306,1;255681908,9;259597103,9;266474985,2;278068997,6;271417662,8;290420948,9;291009942;278611485,2;279890804,1;268999975,4;262125680,4;269018430,5;253476434,1;278016320,7;274325335,5;279334056,7;279844623,3;285370920,1;283869182;278323247,8;272986136,8;261805996,3;268851109,1;257988814,4;261132866;276567893,1;273412228,9;276006348,6;288616077,7;289939692,7;285504373,5;280625651,5;271080917,4;270459042,1;273722268;265667602,3;253804030;284405443,4;267260974,1;296851093;270596412,5;297881361,7;297309345,9;280813753;285740593,7;280768835,6;280080500,1;279203782,8;269524844,8;286775733,9;289711791,2;293104281,7;287922148,7;291524922,1;298702204,6;282739086,8;295671659,1;283947815,4;283179040,8;298180056,7;279427204,2;288819396,4;297834670,2;303889049,2;293587709,5;305033842,8;313868712,6;298547868,3;310847061;292851698,7;284749770,5;304511719,3;288872273,9;297359679,7;251331659;272493373,4;306781760,8;367672197,9;350135458,2;354165251,7;345961095,1;335880671,2;331043717,5;356097158,6;350366878,2;406866741,1;474279794,2;510118421,5;522748386,1;515461288,7;460348563;393119442,1;44290985780
41 Paraná;38266347,46;55384670,52;53801318,85;52460306,69;54419620,71;57811688,48;58094241,83;56982774,9;57549082,26;57121887,41;53117936,61;63910909,46;64523066,04;60783727,39;65633573,31;64759375,78;65902215,41;66280753;69158603,32;68256573,41;65843824,73;66394412,26;66395558,19;67070814,17;65492818,75;62237724,45;70702537,78;70374693,61;72058180,69;71935547,82;72371869,39;74708055,69;72785908,9;72851750,47;75595725,52;74366096,98;75110313,47;72128616,95;73759982,82;76599030,33;75660652,68;77258175,98;80842051,59;80617519,85;75549674,67;77593673;76544478,19;77258303,28;76039530,59;72807882,01;77076883,24;76143545,1;83336990,84;80649521,02;81927587,9;84130063,75;78536950,5;83285621,69;81594702,93;76270832,45;79500038,93;75028184,23;80703730;87106955,67;87399406,72;86697435,96;87769698,09;88057167,22;90365634,46;88122492,89;87591159,75;82588891,73;83584617,32;85435762,12;83641160,75;85205955,97;90028735,19;87870952,45;90698407,25;93643329,76;93539983,04;93513605,52;90920897,47;85093676,96;86815580,94;84176293,14;91071048,29;90305345,86;92363932,23;93872517,26;95718229,92;98916070,85;95128845,06;96186825,16;96160859;96048736,4;93783253,43;93084827,52;100050041,2;98382855,34;104543901,5;103377082,7;108340437,1;106455448,9;107336203,7;104805099,9;102244280,1;102217981,4;101336658,9;100907457,9;108922320,5;108702876;111362259,2;110695749,7;116359245,5;117872309,1;111878379,5;115332028,5;114669021,5;115173908,3;118799559,9;110307818,8;116630189;120061032,5;121360733,7;122174618,9;124610255;127874482,4;123933024,5;125316844,1;125317336,7;117528767,9;122460918;119836506,4;123286810;120177202,2;126481773;125528571,5;125978907,6;126174536,5;126966338,9;131587683,7;127099316,2;117905826,7;122357489,6;127010218,5;117317015,9;94604541,3;107506194,8;96981983,22;109720663,6;129529222,5;122702263,3;129647874;126880362,9;121768083,6;123528504,4;133636140,8;141385533,7;156532484,1;166203382,8;179677707,8;182949734,9;178040081,3;121946453,3;15672157558
42 Santa Catarina;16504913,45;25651429,11;26743524,89;27181488,26;26845308,18;29909762,04;30789135,84;31250854,33;30019676,93;31957603,59;25115484,86;30778152,01;35330776,38;29003233,4;34665661,11;33835731,44;35240482,92;34559792,1;37817434,39;37259106,98;37380382,93;35782563,69;37345105,77;33887220,81;35965111,2;30499828,8;35106629,49;38016215,79;36075962,56;36549557,8;37410644,46;39238540,97;38081890,14;38789877,44;39827583,98;38814557,5;36415863,91;36721508,61;37996132,34;38421644,32;42835662,88;41189032,41;41758217,71;41684481,18;40922878,17;43202127,53;42472572,09;39321146,15;40492256,09;37022044,67;41483655,71;39783026,17;43805455,91;44046279,27;44667604,83;47341536,84;43359745,8;45156146,64;41573779,33;39219651,32;42289935,8;40639211,68;43594853,16;48625178,22;48118188,7;47911889,44;50571448,43;48955584,63;50829444,52;51491068,29;51684328,02;48372507,22;47993678,86;47288897,03;49012952,27;48053559,67;51823540,54;52051111,63;54238795,01;58563755,12;57996386,57;55718596,57;52622351,52;50644413,58;51654807,12;49243372,32;50778038,59;53032690,6;52438940,12;55880868,36;58530304,5;56690587,83;57889887,42;55737338,22;53674531,44;54165006,62;51122044,59;51193907,71;53003389,12;55051999,99;58462423,06;57758960,8;56650625,57;59500073,33;57825717,51;57782700,4;54981230,42;50520420,22;56881263,74;49307356,23;57799235,23;53445103,28;60332325,13;58396222,86;57247011,5;60460918,42;56263507,69;56883543,13;55604043,98;54055792,1;53712418,95;51298668,32;58770698,1;60288827,83;60659252,2;62213666,2;61278050,72;62730906,87;61636890,45;63327187,97;59766664,18;55708713,29;58896965,31;57420491,79;58250110,95;61028085,6;64937709,4;63504945,54;66591656,76;68439538,79;67131286,74;67946962,52;62694674,96;62400948,72;60255326,83;63695794,11;61835940,53;51632371,91;55188294,77;57897436,61;61267297,89;65467585,93;71781494,82;69414431,71;68617316,44;70968697,28;72929775,6;75923295,76;85387122,77;88004351,85;84397945,2;94609849,23;97545214,53;102528877,8;83493556,56;8392938841
